model,tenor,horizon,regime,binom_pval,reject_bonferroni,reject_bh,mtc_N
xgboost,1Y,1,COVID,0.0641624305300594,False,False,150
xgboost,1Y,1,Hiking,0.998068555106278,False,False,150
xgboost,30Y,1,GFC,0.9622144195293888,False,False,150
xgboost,30Y,1,ZIRP_early,0.0190511243892125,False,False,150
xgboost,30Y,1,ZIRP_late,0.6101622175885792,False,False,150
xgboost,30Y,1,COVID,0.2315944695142664,False,False,150
xgboost,30Y,1,Hiking,0.3938887259704443,False,False,150
xgboost,5Y,1,GFC,0.5485709387682112,False,False,150
xgboost,5Y,1,ZIRP_early,0.8903371626383344,False,False,150
xgboost,5Y,1,ZIRP_late,0.9968265663762284,False,False,150
xgboost,5Y,1,COVID,0.482479940187378,False,False,150
xgboost,5Y,1,Hiking,0.7247419706980072,False,False,150
xgboost,10Y,21,GFC,0.9994291210122688,False,False,150
xgboost,10Y,21,ZIRP_early,0.020287428667025,False,False,150
xgboost,10Y,21,ZIRP_late,0.2484423838125095,False,False,150
xgboost,10Y,21,COVID,0.988637112985719,False,False,150
xgboost,10Y,21,Hiking,0.9999999842242956,False,False,150
xgboost,15Y,21,GFC,0.7719241717974896,False,False,150
xgboost,15Y,21,ZIRP_early,0.99983479849311,False,False,150
xgboost,15Y,21,ZIRP_late,0.9999999995850004,False,False,150
xgboost,15Y,21,COVID,0.9599108466465758,False,False,150
xgboost,15Y,21,Hiking,0.9999999716038244,False,False,150
xgboost,1Y,21,GFC,0.9116853461835764,False,False,150
xgboost,1Y,21,ZIRP_early,0.7813283696545174,False,False,150
xgboost,1Y,21,ZIRP_late,0.8958272273642264,False,False,150
xgboost,1Y,21,COVID,6.603271605691591e-08,True,True,150
xgboost,1Y,21,Hiking,0.999755066013976,False,False,150
xgboost,30Y,21,GFC,0.6342327530840826,False,False,150
xgboost,30Y,21,ZIRP_early,0.4748502805326918,False,False,150
xgboost,30Y,21,ZIRP_late,0.1498572000077944,False,False,150
xgboost,30Y,21,COVID,0.5694133101045074,False,False,150
xgboost,30Y,21,Hiking,0.999999958286458,False,False,150
xgboost,5Y,21,GFC,0.0003758347583974,False,True,150
xgboost,5Y,21,ZIRP_early,0.9908829377079034,False,False,150
xgboost,5Y,21,ZIRP_late,0.8484018564489648,False,False,150
xgboost,5Y,21,COVID,0.9999968113134464,False,False,150
xgboost,5Y,21,Hiking,0.9999998831185992,False,False,150
xgboost,10Y,252,GFC,1.0,False,False,150
xgboost,10Y,252,ZIRP_early,2.0715629475279468e-20,True,True,150
xgboost,10Y,252,ZIRP_late,3.092225517581407e-26,True,True,150
xgboost,10Y,252,COVID,1.0,False,False,150
xgboost,10Y,252,Hiking,1.0,False,False,150
xgboost,15Y,252,GFC,1.0,False,False,150
xgboost,15Y,252,ZIRP_early,4.683636198037353e-24,True,True,150
xgboost,15Y,252,ZIRP_late,1.4793161528752724e-25,True,True,150
xgboost,15Y,252,COVID,1.0,False,False,150
xgboost,15Y,252,Hiking,1.0,False,False,150
xgboost,1Y,252,GFC,1.0,False,False,150
xgboost,1Y,252,ZIRP_early,1.757402661462916e-53,True,True,150
xgboost,1Y,252,ZIRP_late,1.0,False,False,150
xgboost,1Y,252,COVID,2.326401946128658e-22,True,True,150
xgboost,1Y,252,Hiking,0.1970808008684296,False,False,150
xgboost,30Y,252,GFC,0.9999999999999998,False,False,150
xgboost,30Y,252,ZIRP_early,6.614201659741651e-31,True,True,150
xgboost,30Y,252,ZIRP_late,3.2072445149255486e-25,True,True,150
xgboost,30Y,252,COVID,0.3468399884076543,False,False,150
xgboost,30Y,252,Hiking,1.0,False,False,150
xgboost,5Y,252,GFC,1.0,False,False,150
xgboost,5Y,252,ZIRP_early,1.154532171947019e-28,True,True,150
xgboost,5Y,252,ZIRP_late,3.413505342404681e-05,True,True,150
xgboost,5Y,252,COVID,0.4674941549296965,False,False,150
xgboost,5Y,252,Hiking,1.0,False,False,150
xgboost,10Y,5,GFC,0.9585012543111112,False,False,150
xgboost,10Y,5,ZIRP_early,0.8806230260298931,False,False,150
xgboost,10Y,5,ZIRP_late,0.0356549409350718,False,False,150
xgboost,10Y,5,COVID,0.7551721483364444,False,False,150
xgboost,10Y,5,Hiking,0.9812201706228274,False,False,150
xgboost,15Y,5,GFC,0.3087847693101826,False,False,150
xgboost,15Y,5,ZIRP_early,0.1681429453816154,False,False,150
xgboost,15Y,5,ZIRP_late,0.3731494624472816,False,False,150
xgboost,15Y,5,COVID,0.1836739802665139,False,False,150
xgboost,15Y,5,Hiking,0.9977425850219124,False,False,150
xgboost,1Y,5,GFC,0.9111990699763516,False,False,150
xgboost,1Y,5,ZIRP_early,0.563652288521159,False,False,150
xgboost,1Y,5,ZIRP_late,0.9997504612163084,False,False,150
xgboost,1Y,5,COVID,0.6030688425511701,False,False,150
xgboost,1Y,5,Hiking,0.8179932842540044,False,False,150
xgboost,30Y,5,GFC,0.3472935882415303,False,False,150
xgboost,30Y,5,ZIRP_early,0.1653955678953344,False,False,150
xgboost,30Y,5,ZIRP_late,0.7839992673269822,False,False,150
xgboost,30Y,5,COVID,0.1298814519140821,False,False,150
xgboost,30Y,5,Hiking,0.9950133032753012,False,False,150
xgboost,5Y,5,GFC,0.9211580855021588,False,False,150
xgboost,5Y,5,ZIRP_early,0.5644782789543759,False,False,150
xgboost,5Y,5,ZIRP_late,0.5958821750344983,False,False,150
xgboost,5Y,5,COVID,0.7015005994925011,False,False,150
xgboost,5Y,5,Hiking,0.4548662373960254,False,False,150
xgboost,10Y,63,GFC,0.0642221234226397,False,False,150
xgboost,10Y,63,ZIRP_early,0.7655909314081297,False,False,150
xgboost,10Y,63,ZIRP_late,0.1671444945315351,False,False,150
xgboost,10Y,63,COVID,0.999991876316326,False,False,150
xgboost,10Y,63,Hiking,1.0,False,False,150
xgboost,15Y,63,GFC,0.9410983064445512,False,False,150
xgboost,15Y,63,ZIRP_early,2.0126971581452172e-23,True,True,150
xgboost,15Y,63,ZIRP_late,0.0537568735788192,False,False,150
xgboost,15Y,63,COVID,0.5348391232013078,False,False,150
xgboost,15Y,63,Hiking,1.0,False,False,150
xgboost,1Y,63,GFC,4.6646712233259586e-11,True,True,150
xgboost,1Y,63,ZIRP_early,7.637288426171305e-06,True,True,150
