validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
loro,level_change,NOR_5Y,NOR,5Y,LORO_COVID,COVID,oos,2bf248e672cc,108,21,619,0.41033925686591277,1.0,-20.668274737445696,0.6439223258546666,0.029717667028756063,0.38583235342730116,-20.66799719613186,-0.9324158610023796,0.8244391745096371,-1.4849066208380057,0.9309607790596236,-5.27331252969142,0.9999999330084448,0.9999968113134463,29,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_Hiking,Hiking,train,2bf248e672cc,108,21,4148,0.6263259402121505,1.0,0.27822107515259786,0.016102008820057266,0.022374930289488906,0.09828172146110815,0.28035490561409604,3.7890423073370805,7.561458000004961e-05,2.7743043121327733,0.0027783761548497233,16.77800400769935,0.0,2.379291130053449e-60,198,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_Hiking,Hiking,oos,2bf248e672cc,108,21,1111,0.4239423942394239,1.0,-13.086927581032805,0.7962535018353054,0.05793514895589559,0.816731570166631,-12.743875974867535,-0.7052491803207767,0.75967240982342,-10.326025214030805,1.0,0.8586408508899191,0.19526934644973937,0.9999998388401489,53,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,train,ab61fc9caaf0,108,21,3548,0.5572153325817362,1.0,0.02711506565063959,0.025182900131406925,0.025928787977733937,0.12206120802472648,0.028766784123019362,3.611702188760221,0.0001520968909612952,3.081240569927008,0.001038606326331834,7.411844735560741,6.228351168147128e-14,4.998631893819463e-12,169,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.17398619971861073,0.1,6
block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,oos,ab61fc9caaf0,108,21,1422,0.4606188466947961,1.0,-0.01225296233901707,0.02302600030950294,0.022990421592827007,0.11908191439673953,-0.0015475452040876192,0.45852309564797694,0.3232883367815441,-0.10623645577942473,0.5422951290020874,-0.14417370074429114,0.557318346139597,0.9986412274200814,68,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.17398619971861073,0.1,6
block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,train,ab61fc9caaf0,108,21,3184,0.5766331658291457,1.0,0.038267045682736645,0.029497896384234747,0.03077986361494975,0.13334700330492383,0.04164954227062756,4.36316603581385,6.409678734664581e-06,3.6170117444705223,0.00015132588204588035,9.498180008724054,0.0,2.6349964596109372e-18,152,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.17751240161496892,0.1,10
block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,oos,ab61fc9caaf0,108,21,1790,0.48044692737430167,1.0,-0.015401630671435518,0.014377973431824651,0.014258015351955306,0.09765747888485733,-0.008413378503824953,0.38472433886083607,0.3502208303981419,-0.4051083574254901,0.6572768504340134,2.3739015505799315,0.008800621411817033,0.9533553363765289,85,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.17751240161496892,0.1,10
block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,train,ab61fc9caaf0,108,21,4421,0.5182085501017869,1.0,0.010553869720249964,0.024752782286260513,0.025016922334313504,0.12126611565344202,0.010558454973923603,2.849657719828031,0.002188315014392317,2.575622617533167,0.005019089175421473,3.010085888931377,0.0013058691180688475,0.008051502830175755,211,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.19347248647133788,0.1,3
block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,oos,ab61fc9caaf0,108,21,542,0.5129151291512916,1.0,0.016298638245893282,0.025815867709329525,0.02626074260147601,0.12746005439781255,0.016940682100950233,1.2938082318016142,0.09786583429743545,1.1124930767855554,0.13321014842847081,0.4779162174199548,0.31635491909889457,0.2883066307503452,26,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.19347248647133788,0.1,3
block_cv,level_change,NOR_10Y,NOR,10Y,Block_Hiking,Hiking,train,ab61fc9caaf0,108,21,3892,0.5781089414182939,1.0,0.09697611193749711,0.016923573695316284,0.018818983304213773,0.10265434824892028,0.10071796006498857,4.098705853233993,2.077333157646244e-05,3.348690028984157,0.0004098342029543138,9.512069865606223,0.0,9.273530521910826e-23,185,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.06995852285219621,0.1,17
