validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
walk_forward,level_change,NOR_5Y,NOR,5Y,ZIRP_early,ZIRP,train,2bf248e672cc,108,5,1037,0.6046287367405979,1.0,0.21670076557125795,0.004120345458625802,0.0052791166562198635,0.04865533677664566,0.21950096447078793,4.812243757240207,7.462258209134376e-07,3.4610820006405034,0.00027997437990288487,7.13106232751217,4.979350265443827e-13,8.387574163009139e-12,207,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,ZIRP_early,ZIRP,oos,2bf248e672cc,108,5,607,0.44481054365733114,1.0,-34.813427698569434,0.09243217859821128,0.0025836880477759475,0.24626243920682844,-34.775285904882125,-0.10969327942859397,0.5436736847543309,-9.543687328468817,1.0,-1.3909252159255052,0.9178759472857949,0.9971324419370413,121,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,ZIRP_late,ZIRP,train,2bf248e672cc,108,5,1644,0.5815085158150851,1.0,0.15885576737699958,0.003593416768264577,0.004283298429136252,0.044850949613367906,0.16106317882940346,5.073371376807964,1.9541434070902142e-07,3.6709872599430264,0.00012467042771315226,7.31330929961434,1.3034018309099338e-13,2.06487443217676e-11,329,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,ZIRP_late,ZIRP,oos,2bf248e672cc,108,5,611,0.4828150572831424,1.0,-4.545025987910726,0.010299976353610362,0.0018593953887070377,0.08605486669320705,-4.539422339200608,0.3745905753962831,0.353982491635602,-11.539737742630015,1.0,-0.012085284967566683,0.5048212137842929,0.8132668493443413,122,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,COVID,COVID,train,2bf248e672cc,108,5,2254,0.5665483584738243,1.0,0.12872638749641885,0.003151398397476915,0.0036212658385093165,0.04157640990524999,0.12975226398342,5.232416864074969,8.365395420817379e-08,3.620305696804432,0.00015037328039045085,7.519784821331635,2.7422508708241367e-14,1.4230499695294875e-10,451,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,COVID,COVID,oos,2bf248e672cc,108,5,515,0.4563106796116505,1.0,-2.8407237520512165,0.015300296121924921,0.0039855993600000006,0.07715685279428694,-2.838894665500177,0.3095862909373452,0.3784377913497907,-2.5796620344442527,0.9949168569365452,-1.2860696174332316,0.9007906167859137,0.978721109593459,103,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,Hiking,Hiking,train,2bf248e672cc,108,5,2769,0.5532683279162153,1.0,0.11920114604409382,0.003250310119398652,0.0036941839149151317,0.04228187238825013,0.12015476374209622,5.889134469439857,1.941117377946e-09,3.9417930610009826,4.143880287660035e-05,6.664542653248843,1.3274492616233147e-11,1.1210920335174694e-08,554,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,Hiking,Hiking,oos,2bf248e672cc,108,5,700,0.4157142857142857,1.0,-2.1744692347862515,0.03268007745858406,0.010435250578571432,0.15281377300004098,-2.131700308729712,-1.054612469578857,0.8541987007739077,-10.77523902968333,1.0,-0.21732319080988372,0.5860217573512565,0.9999967307417595,140,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,ab61fc9caaf0,108,5,587,0.504258943781942,1.0,0.0,0.005475324597700319,0.005476128781942082,0.05409508719588822,0.00014685268988090527,0.23397601248925712,0.4075018005465326,0.11609112186161416,0.45381004838098554,,,0.43444254890959905,117,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.12203293472808543,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,ab61fc9caaf0,108,5,385,0.43376623376623374,1.0,-0.01721652567116605,0.004728507966460396,0.004713267292207792,0.05136172857806588,-0.0032335688404094842,-1.9336775848536591,0.9734236092624395,-2.017530856564994,0.9778323270458613,,,0.99601859339739,77,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.12203293472808543,0.1,0
