validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,model,model_loss,machine,scheme,src_file,xgb_n_trees,xgb_max_depth,xgb_lr,cat_n_trees,cat_depth,cat_lr,alpha,l1_ratio,n_nonzero,n_trees,depth,lr
block_cv,level_change,NOR_5Y,NOR,5Y,Block_GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1529,0.5689993459777632,1.0,-0.287057102940804,0.4523571058194724,0.3740749304234794,0.4452468525264959,-0.2092687026831015,-1.0251990960879875,0.847365372662473,-0.9911268253888182,0.8391097116462622,5.3467651126825135,4.4770046336850555e-08,3.7509497576829945e-08,12,12,0.7729706119687163,52.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,52.0,2.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_ZIRP,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,2820,0.5716312056737589,1.0,0.0146264149121047,0.3344503477401619,0.3435659824547872,0.4307885945206268,0.0265324135104814,1.1829445199578854,0.1184155679657888,0.7771375314939961,0.2185714200811371,,,1.461163249813356e-14,22,12,0.7371898940039578,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_ZIRP,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1864,0.411480686695279,1.0,-0.1813573446408847,0.1359513124479857,0.1190839810919527,0.2780424786116151,-0.1416423199943961,-1.084391996670279,0.860904484617822,-1.7161642578653964,0.9568508864342552,,,0.9999999999999925,15,12,0.7371898940039578,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,4053,0.7320503330866025,1.0,0.1449573097995756,0.1988057433269304,0.2335332803805823,0.2993977853925499,0.1487048740850015,4.581562876948484,2.3075689797869003e-06,3.846206963622696,6.090205029941075e-05,29.472971134393003,0.0,2.065396597513577e-199,32,12,0.7341853801594532,84.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,84.0,2.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,618,0.6262135922330098,1.0,-0.1083198369243974,0.3292675375459081,0.3364276630912621,0.4210462244235334,0.0212828085525526,0.5038671261945676,0.3071773764739598,0.2102854316870785,0.4167571639147815,-0.0552534860728707,0.5220317408718997,1.8332173984017176e-10,5,12,0.7341853801594532,84.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,84.0,2.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3900,0.5984615384615385,1.0,0.0392159298454961,0.2284996743114462,0.2430838981046922,0.3326798136182909,0.0599966674344051,1.8079137211391936,0.0353099649430379,1.3690806117597671,0.0855264689501104,13.282196135764966,0.0,3.4605287186225867e-35,31,12,0.7187919737879208,1.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,2.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1023,0.3929618768328445,1.0,-0.2005441745675267,0.3096919600053098,0.2836330595307918,0.4483113146781383,-0.0918753988608616,-0.8707233583697369,0.8080473893443028,-1.234480811760891,0.8913462212004086,,,0.9999999999974856,8,12,0.7187919737879208,1.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,2.0,
loro,level_change,NOR_10Y,NOR,10Y,LORO_GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3113,0.6061676839061998,1.0,0.1174005667286202,0.1643428589358486,0.1875637377770639,0.3192819859705766,0.1238026023389199,1.8628372855899096,0.0312425812300067,1.583305978895973,0.0567266765250224,11.983164252470123,0.0,8.088023967329439e-33,25,12,0.7721790863031673,50.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,50.0,2.0,
loro,level_change,NOR_10Y,NOR,10Y,LORO_GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1401,0.4846538187009279,1.0,-0.2447618775013049,0.2209028157143387,0.1899109579657387,0.3442670823814205,-0.1631915192286646,-1.1450586173895825,0.8739075618101746,-1.0926737696621511,0.8626374768737854,1.4946626718128977,0.0675012504634018,0.8801138975940923,11,12,0.7721790863031673,50.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,50.0,2.0,
loro,level_change,NOR_10Y,NOR,10Y,LORO_ZIRP,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,2659,0.5468221135765325,1.0,0.0168856242765542,0.2081630542032173,0.2157574913031214,0.3587712776447741,0.0351989497747478,1.329119839893068,0.0919042178580403,0.8269463888550267,0.2041708389014941,,,7.442849249934717e-07,21,12,0.7387329228625453,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
loro,level_change,NOR_10Y,NOR,10Y,LORO_ZIRP,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1793,0.3485778025655326,1.0,-0.1937212384163382,0.1371710687193353,0.1222484802955939,0.2991669197428679,-0.1220676804133586,-1.3486503303290536,0.9112753467909188,-1.7949047944932837,0.9635813325034552,,,1.0,14,12,0.7387329228625453,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
