security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,1.0,1,0.108885604898699,239,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,1.0,5,0.10911641676083372,196,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,5.0,1,0.11095814120127263,338,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,5.0,5,0.11213618973522842,228,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,10.0,1,0.11091512600505403,338,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,10.0,5,0.1112523642635634,320,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,1.0,1,0.10753618057531208,286,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,1.0,5,0.10680271525701344,286,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,5.0,1,0.11052742611147612,268,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,5.0,5,0.10999597988950441,291,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,10.0,1,0.11301409475118591,292,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,10.0,5,0.11247063385121644,242,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,1.0,1,0.10946214714934661,287,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,1.0,5,0.1065350356439621,274,True
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,5.0,1,0.11204747253427114,233,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,5.0,5,0.10988780964158051,264,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,10.0,1,0.11534561605572932,309,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,10.0,5,0.11241662301386558,211,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,1.0,1,0.10921536480412852,55,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,1.0,5,0.10849311627693042,43,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,5.0,1,0.10767416915187311,61,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,5.0,5,0.10970937022461469,59,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,10.0,1,0.10914255183963806,90,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,10.0,5,0.1100048791113581,85,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,1.0,1,0.11164565797549482,85,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,1.0,5,0.11021093261020098,64,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,5.0,1,0.11144111966510394,61,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,5.0,5,0.11168312063483367,61,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,10.0,1,0.1107251953430637,108,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,10.0,5,0.11167356719773953,56,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,1.0,1,0.10967365462852631,54,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,1.0,5,0.10951243542444872,44,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,5.0,1,0.10931112386300555,64,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,5.0,5,0.10904269873179205,53,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,10.0,1,0.11057971590322999,75,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,10.0,5,0.11152382550824269,83,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,1.0,1,0.1109065075120728,42,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,1.0,5,0.1102431170288376,49,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,5.0,1,0.10990998172883248,48,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,5.0,5,0.10892296968787114,48,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,10.0,1,0.11101274746571269,52,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,10.0,5,0.10985234694383399,59,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,1.0,1,0.10911296469830163,59,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,1.0,5,0.1071919533498067,68,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,5.0,1,0.110096429667748,60,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,5.0,5,0.11175684866631848,72,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,10.0,1,0.11049592451851656,60,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,10.0,5,0.11139695618719474,63,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,1.0,1,0.10880111115432568,65,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,1.0,5,0.10927381680390835,35,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,5.0,1,0.11079662320332646,57,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,5.0,5,0.1104957118209805,56,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,10.0,1,0.11228985452251874,63,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,10.0,5,0.11248389167882239,56,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,1.0,1,0.10749649935055113,60,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,1.0,5,0.10744536224448949,46,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,5.0,1,0.11144529633751793,43,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,5.0,5,0.10959701641250681,65,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,10.0,1,0.11344720375743551,55,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,10.0,5,0.11179202525614444,59,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,1.0,1,0.10905636635308609,58,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,1.0,5,0.10773368895701098,53,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,5.0,1,0.11236924690515503,51,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,5.0,5,0.11095161659255616,48,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,10.0,1,0.11527049543135194,65,False
__POOL__,21,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,10.0,5,0.11275986325695007,49,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,1.0,1,0.10876535055281945,26,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,1.0,5,0.10907200980298493,37,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,5.0,1,0.11013582489909196,48,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,5.0,5,0.11006043642035748,47,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,10.0,1,0.11054535899448399,34,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,0.8,10.0,5,0.10991048096854479,49,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,1.0,1.0,1,0.10937307778626178,32,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,1.0,1.0,5,0.10781846314322241,23,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,1.0,5.0,1,0.10920814372290531,24,False
__POOL__,21,walk_forward,ZIRP_early,True,0.1,3,0.8,1.0,5.0,5,0.10976323037139704,23,False
