security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,1.0,1,0.7912906158448091,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,1.0,5,0.7912906158448091,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,5.0,1,0.791336717579063,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,5.0,5,0.791336717579063,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,10.0,1,0.7913887991328054,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,1.0,10.0,5,0.7913887991328054,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,1.0,1,0.7891570854876702,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,1.0,5,0.7891083946741527,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,5.0,1,0.7887114403178409,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,5.0,5,0.7887083102397063,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,10.0,1,0.7887556423094544,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,0.8,10.0,5,0.7887533255115124,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,1.0,1,0.7913612311121728,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,1.0,5,0.7913500260572969,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,5.0,1,0.7912990771536924,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,5.0,5,0.7912990771536924,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,10.0,1,0.7913384433489862,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,1.0,1.0,10.0,5,0.7913384433489862,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,1.0,1,0.7978638131874837,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,1.0,5,0.7978638131874837,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,5.0,1,0.7978658258127284,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,5.0,5,0.7978658258127284,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,10.0,1,0.7978683127163585,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,0.8,10.0,5,0.7978683127163585,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,1.0,1,0.8005081088373012,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,1.0,5,0.8005081088373012,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,5.0,1,0.8005068386629516,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,5.0,5,0.8005068386629516,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,10.0,1,0.8005052418720023,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,0.8,1.0,10.0,5,0.8005052418720023,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,1.0,1,0.7939773166315662,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,1.0,5,0.7939773166315662,1,False
