notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,ZIRP_late,ZIRP,oos,bf4168325708,1,782,0.4846547314578005,1.0,-0.00018979433907428955,0.0006422876717091212,0.0006421680309462917,0.018923706677542677,-0.00018630756603266185,0.14389153287988493,0.4427930609452664,-0.14146630855123665,0.5562309721977751,,,0.8143334041930275,782,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,COVID,COVID,train,bf4168325708,1,3481,0.48721631715024416,1.0,0.00017258495438909893,0.001479015453186726,0.0014797939960356217,0.027079267393928033,0.0005261156964965208,1.1797756650973699,0.11904472529860066,0.5898041734719689,0.2776801176725445,1.2735189850296578,0.1014169700325056,0.9364293169033667,3481,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,COVID,COVID,oos,bf4168325708,1,523,0.502868068833652,1.0,0.00032822700430257257,0.001291364273112068,0.0012919684512428299,0.026791806659586304,0.0004676415512937515,1.3959390781941745,0.0813664207837107,1.3466743335457243,0.08933476991288689,0.8895313229506004,0.18685879847581766,0.46516087679869234,523,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,Hiking,Hiking,train,bf4168325708,1,4004,0.487012987012987,1.0,0.0002001121452028798,0.0014545009301961884,0.001455260339710289,0.027043425726478245,0.0005218375663641472,1.256332319188404,0.10449775443369058,0.627217171587654,0.2652763303729121,1.4647118141504685,0.07149978014900238,0.9514850961718941,4004,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,Hiking,Hiking,oos,bf4168325708,1,1110,0.45045045045045046,1.0,-0.0032833707014219282,0.0023584826091124765,0.0023557640360360363,0.037621539684482244,-0.0011540090751256393,-0.868132860593286,0.8073391981485942,-1.1702590588123476,0.8789259241426142,,,0.9995722768439561,1110,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,GFC,GFC,train,bf4168325708,1,963,0.45275181723779856,1.0,0.005671676204229148,0.0028657647235068207,0.0028821500519210777,0.03777038825131821,0.005685105951834579,1.9221532847402232,0.027293236482184513,0.965890849432121,0.16717077490101756,-1.15777173030361,0.876521398617278,0.9984947479857462,963,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,GFC,GFC,oos,bf4168325708,1,723,0.4426002766251729,1.0,-0.08952956232581388,0.001984445486645062,0.0018254840940525566,0.0348942184801333,-0.0870790346026038,-0.5283409530625016,0.7013686439156379,-4.245496356366081,0.9999876702940442,,,0.9991174894044251,723,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,ZIRP_early,ZIRP,train,bf4168325708,1,1686,0.46441281138790036,1.0,0.0006221563626842563,0.002426941856730174,0.0024290246144721217,0.0357243305847527,0.0008574461244809095,1.273390238161409,0.10143979982470208,0.6523672365056372,0.2571266386739122,-0.3019094855554383,0.6186394677223324,0.9984006150438783,1686,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,ZIRP_early,ZIRP,oos,bf4168325708,1,1025,0.424390243902439,1.0,-0.009369313768540888,0.0015178219024677008,0.0015051380487804877,0.02931598197169498,-0.008427036774128371,-0.45164047064127544,0.6742359950962313,-1.730682861413389,0.9580952025260907,,,0.9999994741428501,1025,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,ZIRP_late,ZIRP,train,bf4168325708,1,2711,0.483585392843969,1.0,0.00014510296868541772,0.0020785677649035523,0.002079713021025451,0.033133684992148034,0.000550679882426186,1.1499164671034912,0.12508913891643725,0.5755985096636412,0.2824671895009614,0.521345768639366,0.3010629614550909,0.9580631322119135,2711,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,ZIRP_late,ZIRP,oos,bf4168325708,1,782,0.48081841432225064,1.0,0.00048120893547864974,0.0007260790677146451,0.0007264308703324807,0.020083967418214565,0.000484289190070597,1.4771927934993399,0.06981198249949672,1.4103756818195319,0.07941346311210536,1.7386290799789699,0.04105001400130137,0.8661952877642517,782,False,False,150.0,walk_forward:{horizon×tenor×regime}
