notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,xgb_n_trees,xgb_max_depth,xgb_lr
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,e5add100f4cc,108,63,1036,0.5675675675675675,1.0,-0.0074451137479421,0.0187180710762524,0.019957521090733593,0.10659019807472998,0.06210440709776721,1.509523576169547,0.06558251751371713,0.4326464894059799,0.33268087142411834,,,7.637288426171305e-06,16,12,0.7457769753688664,1,5,0.01
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,train,f344eec939da,108,63,2476,0.48909531502423265,1.0,0.1507966610536161,0.16788169808019568,0.19982186826332796,0.22927944686642465,0.15984321666455992,1.3644279055804571,0.08621646506881087,1.2640041711654526,0.10317378027438685,,,0.8654909419976002,39,12,0.7416162564760113,1,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,f344eec939da,108,63,774,0.3850129198966408,1.0,-0.4691564831857251,0.014497195070031128,0.011538956550387598,0.09030257470103352,-0.25636967317847836,-1.1112959749260425,0.8667795143112095,-1.6415976464855504,0.9494599156100937,,,0.9999999999485272,12,12,0.7416162564760113,1,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,train,aae649386020,108,63,3248,0.8134236453201971,1.0,0.8067587146088759,0.029822096570803806,0.15488567621921182,0.11754194929157759,0.8074573627544732,1.4872971870253076,0.0684681685724261,1.4799044107163934,0.06949788597477155,36.84974704807849,0.0,2.6667812020073776e-301,52,12,0.7284559785654251,33,3,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,aae649386020,108,63,547,0.7349177330895795,1.0,-0.09098221557193509,0.1584140302443109,0.145437469759415,0.2325244114197446,-0.08922432785967693,-0.6673385204344117,0.7477220367252764,-0.7935293918887781,0.7860929191767401,3.8306307591840714,6.390759393981593e-05,3.145481302275653e-29,9,12,0.7284559785654251,33,3,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,train,79d21936aa6d,108,63,3784,0.7042811839323467,1.0,0.570281519356947,0.06519369711243886,0.1525201084709038,0.15296147826579853,0.5725567089740444,1.700891929523992,0.044481641185399545,1.6784082201233677,0.04667501386192933,30.537651669411105,0.0,1.3623594830015723e-143,60,12,0.7185131314842439,12,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,79d21936aa6d,108,63,1074,0.44972067039106145,1.0,-1.5640033968423128,0.3049545399870697,0.13646399246741153,0.3964631006199277,-1.2346886858076846,-1.039021995730699,0.8506027466647359,-2.4617431813341457,0.9930086095728002,2.534134359146734,0.005636275027417592,0.9995636171010809,17,12,0.7185131314842439,12,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,GFC,GFC,train,05a42a9a8d19,108,63,893,0.8118701007838746,1.0,0.507337600580615,0.038795539110006196,0.07875177575587905,0.15456638729692024,0.5073693419908694,2.172480133089865,0.01490973327836631,2.071514624847151,0.01929885684008793,19.362198551742036,0.0,2.192078630520672e-83,14,12,0.7834990580352067,6,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,GFC,GFC,oos,05a42a9a8d19,108,63,670,0.36716417910447763,1.0,-0.10853928955653624,0.06441632463198126,0.060469848507462676,0.2027814052921845,-0.06526353582697575,-1.4953171300650854,0.9325841517385454,-1.6140252899338114,0.9465032618139738,-4.915890317303275,0.9999995581006393,0.9999999999982586,11,12,0.7834990580352067,6,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_early,ZIRP,train,717758c7ee5f,108,63,1574,0.7655654383735705,1.0,0.29262054933560766,0.048436848277819904,0.06928933735705209,0.1690741235576925,0.30094802280729094,2.8279349004588465,0.002342466620340211,2.6692160277752786,0.0038405267061445993,21.798201169682912,0.0,9.456571226367491e-104,25,12,0.735948527439627,4,3,0.1
