learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.1,3,0.8,0.8,1.0,5,0.002791881613482173,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,0.8,5.0,1,0.00278007569512849,16,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,0.8,5.0,5,0.0028048531344010133,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,0.8,10.0,1,0.0028121294504918916,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,0.8,10.0,5,0.002811328388955793,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,1.0,1,0.0028177963485610225,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,1.0,5,0.0028136663191016507,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,5.0,1,0.002816596597636803,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,5.0,5,0.0027894583487723117,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,10.0,1,0.002821723581953918,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,1.0,10.0,5,0.002821692903295063,6,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,1.0,1,0.002809799572222655,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,1.0,5,0.002809799572222655,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,5.0,1,0.0027401757812167225,28,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,5.0,5,0.0027638261935269345,23,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,10.0,1,0.0027774299349769558,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,0.8,10.0,5,0.002783801002951988,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,1.0,1.0,1,0.002810533603931615,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,1.0,1.0,5,0.0028003322565138553,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,1.0,5.0,1,0.00279277370886763,20,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,1.0,5.0,5,0.0027915075662671173,27,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,1.0,1.0,10.0,1,0.002801863869432213,4,False,NOR_10Y,5,GFC,GFC,walk_forward
