notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,lookback,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,COVID,COVID,train,6e63a9429d93,1,3231,0.6022903125967193,1.0,0.08648906821590074,0.6427014564345943,0.7090725253040855,0.4378404705743236,0.09360265205738716,1.2736519442103424,0.10139339722865359,0.9843873152303986,0.16249942094854583,13.090189811998549,0.0,1.1227210939942416e-31,26,20,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,COVID,COVID,oos,6e63a9429d93,1,548,0.4653284671532847,1.0,-0.029023828792471118,0.3588457914281232,0.3748551355591241,0.4919970163442884,0.042708082702726746,1.1114775738664837,0.13318141893504154,0.36601011129883365,0.35724951984319064,4.941031855482858,3.8855104711466026e-07,0.9521878492574007,4,20,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,Hiking,Hiking,train,6e63a9429d93,1,3765,0.5272244355909694,1.0,0.06450304053448508,0.6345614762822189,0.6867977318597079,0.4643547491507752,0.07605769960253639,1.376635728309159,0.08431244944162886,0.9749597968196668,0.1648214274350868,6.536344599515167,3.152034189213282e-11,0.00044145259573248017,30,10,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,Hiking,Hiking,oos,6e63a9429d93,1,1005,0.5532338308457712,1.0,-0.32480226654650113,0.6159850309012489,0.5718852673333331,0.5684224595602025,-0.07711295619408132,0.543987572802084,0.29322501227978215,-1.3727882413252055,0.9149376333056761,4.531860772906544,2.9233190383948227e-06,0.00040919436701977984,8,10,False,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,GFC,GFC,train,6e63a9429d93,1,836,0.430622009569378,1.0,0.010665847778510984,0.7897319804559864,0.8003733058761962,0.6690073424051746,0.013295452686993836,0.5404583554814998,0.2944404865580741,0.25442776081196516,0.39961387480712784,-0.3779448090661526,0.6472642029361385,0.9999746931984522,7,10,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,GFC,GFC,oos,6e63a9429d93,1,764,0.6570680628272252,1.0,-0.15638980610662556,0.2492236063883822,0.26490626813808904,0.4121577236917606,0.059200795284813146,1.4724899396952442,0.0704443108601509,0.8156159066916363,0.20748718998056775,1.991834147249313,0.023194629129584032,1.40497609233542e-18,6,10,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,ZIRP_early,ZIRP,train,6e63a9429d93,1,1365,0.736996336996337,1.0,0.10644368366946289,0.45425417639862553,0.5840539550934066,0.4925931632924028,0.2222393625842709,2.211799415333446,0.013490263769571298,1.008089779965043,0.15679507884709717,14.746193927421974,0.0,1.7303129227914297e-71,11,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1027,0.6533592989289192,1.0,-0.03988668410998164,0.14186190952204117,0.15177267318403115,0.3099509151348362,0.06530005338953693,1.5960551106031167,0.0552382448274078,0.1809462793259502,0.4282227395290772,,,2.6356976528072485e-23,8,250,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,ZIRP_late,ZIRP,train,6e63a9429d93,1,2390,0.7230125523012553,1.0,0.11661064846952929,0.30334596698409033,0.393795896958159,0.3921132934761112,0.2296873346643299,2.6415507923855133,0.004126371587260369,1.2962073176725428,0.09751463531171195,15.719723150098002,0.0,3.1322483201321746e-109,19,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,ZIRP_late,ZIRP,oos,6e63a9429d93,1,853,0.47362250879249707,1.0,-0.6430938614771087,0.26545448119525533,0.16388427579765538,0.4614440366530902,-0.6197678508401052,0.6182851618837908,0.2681936905882585,-1.1266915886923923,0.8699049353453472,,,0.9423992250840321,7,250,False,False,150.0,walk_forward:{horizon×tenor×regime}
