validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,lambda_grid_value
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,829,0.503015681544029,1.0,-0.0005884824056132665,0.0003355454411393311,0.0003362258986731001,0.011190294527073374,0.002023810588221764,1.185950047331094,0.11782101353765961,0.4437947148886826,0.328653479000908,,,0.4447598352086719,829,12,0.7548704540441938,3,3,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,622,0.42765273311897106,1.0,-0.060804258228685404,0.00012856726306776563,0.00012230988745980714,0.00767675363050029,-0.051160014434767254,-2.565782238214395,0.9948528283243971,-4.497980062593414,0.9999959055762585,-0.2615800446288759,0.6031773847276859,0.9998713257221514,622,12,0.7526999810295681,12,5,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,443,0.5056433408577878,1.0,-0.0007228458746371125,0.0004319930976855605,0.00043180303792325056,0.010062483496498468,-0.00044015383315509915,0.4270612670544968,0.3346673518136545,-0.08730310558011492,0.5347649386113584,2.770577434143763,0.0027978496681495546,0.42465019226026274,443,12,0.7362911955234973,13,1,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,908,0.5550660792951542,1.0,0.002569938856059162,0.00123833410023419,0.0012525415859030832,0.023735674351292646,0.01134292531984038,3.7689521828410353,8.196714306685227e-05,3.0678371335991566,0.0011100873856916217,4.649139468233667,1.6666138729082292e-06,0.0005037996854319119,908,12,0.7261693476587756,32,2,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,561,0.49910873440285203,1.0,-0.2041385947066574,0.013182867393275762,0.011662426622103388,0.0851350841874064,-0.1303708756709976,-0.1697648398932062,0.567402460402057,-1.648390460057735,0.9500832765972514,0.4893257051469729,0.3123055626769482,0.5336417603149948,27,12,0.7798292943039524,266,1,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1036,0.5511583011583011,1.0,-0.2716744900097423,0.006867844509260487,0.00553881361969112,0.06474135655474769,-0.2399486570272935,1.4859619181682924,0.06864459708826853,-1.7500949935922978,0.9598008806585657,1.746430021213078,0.04036812854615923,0.0005478410402228988,49,12,0.7444422920341695,129,2,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,774,0.5361757105943152,1.0,-0.19451632830637688,0.0028956850095632663,0.002651561950904393,0.04170069902594194,-0.09206764283806668,0.8560666299397062,0.19598046268602043,-0.9826607411748552,0.8369590525648007,0.8790648234517797,0.18968306463216433,0.02398951815160777,37,12,0.7418534819241348,28,5,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,548,0.5602189781021898,1.0,0.017424875795253647,0.0268114900998297,0.027394905781751824,0.0933807280644779,0.02129650258957072,1.9788253172611912,0.02391783850355733,1.7176689759059829,0.04321148769532936,3.0919386625505845,0.000994269668544323,0.0027220522962306073,26,12,0.7268954765479523,20,3,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1109,0.4860234445446348,1.0,-0.1066498770059483,0.033981538481726935,0.03302174287646529,0.13635513261578702,-0.02906556473570321,-0.2745127184557298,0.6081546845078367,-1.3198510606457905,0.9064213143647879,6.0880194035412245,5.71580116570658e-10,0.8317007056632982,53,12,0.7169535284796619,42,3,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,561,0.5329768270944741,1.0,-0.21087776404695036,0.013256647584480042,0.011662426622103388,0.08475364976875159,-0.13669719124793311,0.04302520614826627,0.48284072042697757,-1.5485919149180272,0.9389776134172128,1.3015004991365355,0.09654359688796221,0.06422822663499146,27,12,0.7798292943039524,273,2,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1036,0.5694980694980695,1.0,-0.24183915968507774,0.006706714903247354,0.00553881361969112,0.06354697576214606,-0.2108576608182322,1.4216954111074642,0.07755734643610923,-1.527266371632281,0.9364998430729438,3.7009380204674063,0.0001074019715984198,4.3027830096703616e-06,49,12,0.7444422920341695,77,2,0.1
