security,horizon,fold,feature,relevance
NOR_10Y,5,COVID,gvz_level,0.0
NOR_10Y,5,COVID,spx_mom_1m,0.0
NOR_10Y,5,COVID,spx_mom_3m,0.0
NOR_10Y,5,COVID,sx5e_mom_1m,0.0
NOR_10Y,5,COVID,sx5e_mom_3m,0.0
NOR_10Y,5,COVID,mxwo_mom_1m,0.0
NOR_10Y,5,COVID,ndx_mom_1m,0.0
NOR_10Y,5,COVID,oil_mom_1m,0.0
NOR_10Y,5,COVID,oil_mom_3m,0.0
NOR_10Y,5,COVID,copper_mom_1m,0.0
NOR_10Y,5,COVID,opec_prod,0.0
NOR_10Y,5,COVID,natgas_mom_1m,0.0
NOR_10Y,5,COVID,be5y_level,0.0
NOR_10Y,5,COVID,be10y_level,0.0
NOR_10Y,5,COVID,be_slope,0.0
NOR_10Y,5,COVID,be5y_chg_1m,0.0
NOR_10Y,5,COVID,ig_spread,0.0
NOR_10Y,5,COVID,hy_spread,0.0
NOR_10Y,5,COVID,ig_chg_1m,0.0
NOR_10Y,5,COVID,hy_chg_1m,0.0
NOR_10Y,5,COVID,cpi_yoy,0.0
NOR_10Y,5,COVID,pce_core_chg,0.0
NOR_10Y,5,COVID,nfp_change,0.0
NOR_10Y,5,COVID,pmi_us,0.0
NOR_10Y,5,COVID,pmi_eur,0.0
NOR_10Y,5,COVID,unemp_eur,0.0
NOR_10Y,5,COVID,cpi_nsa_level,0.0
NOR_10Y,5,COVID,pce_core_level,0.0
NOR_10Y,5,COVID,eur_3m,0.0
NOR_10Y,5,COVID,eur_1w,0.0
NOR_10Y,5,COVID,nor_ibor_1m,0.0
NOR_10Y,5,COVID,nor_ibor_6m,0.0
NOR_10Y,5,COVID,nor_ecb_dfr_chg,0.0
NOR_10Y,5,COVID,nor_ecb_dfr_level,0.0
NOR_10Y,5,COVID,nor_eurnok_chg_1d,0.0
NOR_10Y,5,COVID,nor_eurnok_level,0.0
NOR_10Y,5,COVID,nor_eurnok_mom_1m,0.0
NOR_10Y,5,COVID,nor_eurnok_mom_3m,0.0
NOR_10Y,5,COVID,nor_eurnok_rvol_20d,0.0
NOR_10Y,5,COVID,nor_govt_10y,0.0
NOR_10Y,5,COVID,nor_govt_3y,0.0
NOR_10Y,5,COVID,nor_govt_5y,0.0
NOR_10Y,5,COVID,nor_i44_chg_1d,0.0
NOR_10Y,5,COVID,nor_i44_level,0.0
NOR_10Y,5,COVID,nor_i44_mom_1m,0.0
NOR_10Y,5,COVID,nor_i44_mom_3m,0.0
NOR_10Y,5,COVID,nor_i44_rvol_20d,0.0
NOR_10Y,5,COVID,nor_kpi_yoy,0.0
NOR_10Y,5,COVID,nor_kpijae_yoy,0.0
NOR_10Y,5,COVID,nor_nibor_nowa_spread,0.0
NOR_10Y,5,COVID,nor_nowa_level,0.0
NOR_10Y,5,COVID,nor_polrate_chg_1d,0.0
NOR_10Y,5,COVID,nor_polrate_days_since_chg,0.0
NOR_10Y,5,COVID,nor_polrate_level,0.0
NOR_10Y,5,COVID,nor_rb_rate_chg,0.0
NOR_10Y,5,COVID,nor_rb_rate_level,0.0
NOR_10Y,5,COVID,nor_unemp,0.0
NOR_10Y,5,COVID,nor_usdnok_chg_1d,0.0
NOR_10Y,5,COVID,nor_usdnok_level,0.0
NOR_10Y,5,COVID,nor_usdnok_mom_1m,0.0
NOR_10Y,5,COVID,nor_usdnok_mom_3m,0.0
NOR_10Y,5,COVID,nor_usdnok_rvol_20d,0.0
NOR_10Y,5,COVID,swap_govt_spread,0.0
NOR_10Y,5,COVID,xmpca_01,0.0
NOR_10Y,5,COVID,xmpca_02,0.0
NOR_10Y,5,COVID,xmpca_03,82.83169555664062
NOR_10Y,5,COVID,xmpca_04,0.0
NOR_10Y,5,COVID,xmpca_05,0.0
NOR_10Y,5,COVID,xmpca_06,0.0
NOR_10Y,5,COVID,xmpca_07,0.0
NOR_10Y,5,COVID,xmpca_08,0.0
NOR_10Y,5,COVID,xmpca_09,0.0
NOR_10Y,5,COVID,xmpca_10,0.0
NOR_10Y,5,COVID,xmpca_11,0.0
NOR_10Y,5,COVID,xmpca_12,0.0
NOR_10Y,5,Hiking,chg_lag1,0.0
NOR_10Y,5,Hiking,chg_lag2,0.0
NOR_10Y,5,Hiking,chg_lag3,0.0
NOR_10Y,5,Hiking,chg_lag4,0.0
NOR_10Y,5,Hiking,chg_lag5,0.0
NOR_10Y,5,Hiking,carry_roll,0.0
NOR_10Y,5,Hiking,mom_63d,0.0
NOR_10Y,5,Hiking,mom_1m,0.0
NOR_10Y,5,Hiking,mom_3m,0.0
NOR_10Y,5,Hiking,mom_6m,0.0
NOR_10Y,5,Hiking,mom_12m,0.0
NOR_10Y,5,Hiking,dev_ma_3m,0.0
NOR_10Y,5,Hiking,dev_ma_12m,0.0
NOR_10Y,5,Hiking,vol_20d,0.0
NOR_10Y,5,Hiking,vol_regime,100.0
NOR_10Y,5,Hiking,vol_zscore,0.0
NOR_10Y,5,Hiking,level_zscore,0.0
NOR_10Y,5,Hiking,slope_10_1,0.0
NOR_10Y,5,Hiking,slope_10_5,0.0
NOR_10Y,5,Hiking,slope_5_1,0.0
NOR_10Y,5,Hiking,sofr_mom_1m,0.0
NOR_10Y,5,Hiking,ibor_level,0.0
NOR_10Y,5,Hiking,ibor_chg_1d,0.0
NOR_10Y,5,Hiking,ibor_mom_1m,0.0
NOR_10Y,5,Hiking,ibor_term_slope,0.0
NOR_10Y,5,Hiking,swap_ibor_basis,0.0
NOR_10Y,5,Hiking,move_level,0.0
NOR_10Y,5,Hiking,move_zscore,0.0
NOR_10Y,5,Hiking,vix_level,0.0
NOR_10Y,5,Hiking,vix_zscore,0.0
NOR_10Y,5,Hiking,v2x_level,0.0
NOR_10Y,5,Hiking,vxn_level,0.0
NOR_10Y,5,Hiking,ovx_level,0.0
NOR_10Y,5,Hiking,gvz_level,0.0
NOR_10Y,5,Hiking,spx_mom_1m,0.0
NOR_10Y,5,Hiking,spx_mom_3m,0.0
NOR_10Y,5,Hiking,sx5e_mom_1m,0.0
NOR_10Y,5,Hiking,sx5e_mom_3m,0.0
NOR_10Y,5,Hiking,mxwo_mom_1m,0.0
NOR_10Y,5,Hiking,ndx_mom_1m,0.0
NOR_10Y,5,Hiking,oil_mom_1m,0.0
NOR_10Y,5,Hiking,oil_mom_3m,0.0
NOR_10Y,5,Hiking,copper_mom_1m,0.0
NOR_10Y,5,Hiking,opec_prod,0.0
NOR_10Y,5,Hiking,natgas_mom_1m,0.0
NOR_10Y,5,Hiking,be5y_level,0.0
NOR_10Y,5,Hiking,be10y_level,0.0
NOR_10Y,5,Hiking,be_slope,0.0
NOR_10Y,5,Hiking,be5y_chg_1m,0.0
NOR_10Y,5,Hiking,ig_spread,0.0
NOR_10Y,5,Hiking,hy_spread,0.0
NOR_10Y,5,Hiking,ig_chg_1m,0.0
NOR_10Y,5,Hiking,hy_chg_1m,0.0
NOR_10Y,5,Hiking,cpi_yoy,0.0
NOR_10Y,5,Hiking,pce_core_chg,0.0
