horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,5.0,5,0.7877123547256082,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,10.0,1,0.7877203696924135,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,10.0,5,0.7877203696924135,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,1.0,1,0.7914512337458474,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,1.0,5,0.7914512337458474,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,5.0,1,0.7914507375689042,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,5.0,5,0.7914507375689042,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,10.0,1,0.7914501175689626,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,0.8,10.0,5,0.7914501175689626,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,1.0,1,0.7911234180580852,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,1.0,5,0.7911234180580852,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,5.0,1,0.7911226666935741,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,5.0,5,0.7911226666935741,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,10.0,1,0.7911217281963272,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,1.0,1.0,10.0,5,0.7911217281963272,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,1.0,1,0.7898972191695854,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,1.0,5,0.7898972191695854,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,5.0,1,0.7898952204512273,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,5.0,5,0.7898952204512273,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,10.0,1,0.789892738855759,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,0.8,10.0,5,0.789892738855759,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,1.0,1,0.7888095638540048,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,1.0,5,0.7888095638540048,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,5.0,1,0.7888139840523224,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,5.0,5,0.7888139840523224,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,10.0,1,0.7888194569484518,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,0.8,1.0,10.0,5,0.7888194569484518,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,1.0,1,0.792249711914582,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,1.0,5,0.792249711914582,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,5.0,1,0.7922448216364265,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,5.0,5,0.7922448216364265,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,10.0,1,0.7922387311875166,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,0.8,10.0,5,0.7922387311875166,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,1.0,1,0.7908823640602962,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,1.0,5,0.7908823640602962,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,5.0,1,0.7908793800434335,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,5.0,5,0.7908793800434335,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,10.0,1,0.7908756822450198,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,6,1.0,1.0,10.0,5,0.7908756822450198,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,1.0,1,0.7999357561874864,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,1.0,5,0.7999357561874864,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,5.0,1,0.7999277957773122,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,5.0,5,0.7999277957773122,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,10.0,1,0.799917871684107,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,0.8,10.0,5,0.799917871684107,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,1.0,1,0.7856188457471184,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,1.0,5,0.7856188457471184,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,5.0,1,0.7856499479683586,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,5.0,5,0.7856499479683586,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,10.0,1,0.785688532762816,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,0.8,1.0,10.0,5,0.785688532762816,1,False
