security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,carry_roll,14.816677455300585,carry_roll,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mom_63d,1.4636697719660856,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mom_1m,1.087137441652407,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mom_3m,0.6188593212374562,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mom_6m,3.4095377840842467,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mom_12m,2.618861958630808,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,dev_ma_3m,11.930293681264288,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,dev_ma_12m,7.005943238877625,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vol_20d,14.804337243196603,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vol_regime,0.054908741142389396,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vol_zscore,1.5347914726876102,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,level_zscore,1.1170016082611423,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,slope_10_1,0.005824360671407697,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,slope_10_5,2.0330769222685787,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,slope_5_1,0.4934458889402217,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,sofr_mom_1m,0.9710844225481868,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ibor_level,1.766734991861858,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ibor_chg_1d,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ibor_mom_1m,1.4787419320684798,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ibor_term_slope,0.0,macro,60,6,
